professors_list,ratings_list,subjects_list,difficulty_list,link_list
Deya Brashears,4.3,Education,2.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2004
Manuel Gonzales,3.2,History,2.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=13862
Andrew Barlow,3.7,Social Science,3.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=14149
Rory Snyder,3.3,Music,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=14197
Dan Bach,2.7,Mathematics,3.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=14198
Bruce Millar,3.5,English,2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=14199
Axel Duwe,3.6,Medicine,4.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=14342
Susan Cooke,4.5,Psychology,1.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=14401
Joseph Adler,4.1,History,2.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=21456
Jerry Cross,3.1,Psychology,2.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=24915
Karen Long,3.9,Science,3.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=25820
Bob Doerr,3.4,Psychology,2.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=34341
Oshri Karmon,4.6,Science,3.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=34671
Jeff Idelson,4.0,Psychology,2.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=44022
Jann Jansen James,3.7,English,2.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=44033
Ted Wieden,4.9,Geography,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=45678
S Sarkis,4.8,Mathematics,2.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=45822
Helen Kow,4.7,Computer Science,2.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=45823
Claudia Martinez,3.7,Languages,2.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=48267
Karen Castle,3.3,Science,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=48274
Tom Chatagnier,2.9,Not Specified,3.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=54439
John Masella,4.1,History,1.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=65458
Jean Hetherington,4.1,Geography,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=68090
Heidi Salter,4.6,English,2.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=76256
Ralph Depew,4.8,Physical Education,2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=76348
Teri Fournier,4.8,Psychology,1.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=78463
Ken White,2.1,Communication,3.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=78480
K. Valentine,2.6,Communication,2.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=78485
Bruce Koller,4.0,Economics,2.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=79190
Warren Hirt,4.9,Science,1.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=79192
Isabel Izquierdo,4.2,Languages,2.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=80396
James Magee,4.6,Mathematics,2.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=80689
Belinda Bush,3.0,Biology,3.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=80784
Rachel Westlake,2.6,Mathematics,3.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=84858
Jorge Marquardt,3.6,English,3.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=85076
Jeffery I. Mock,2.5,Mathematics,3.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=86434
Mary Ulrich,4.8,Science,2.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=89897
Neal Skapura,2.8,English,3.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=104282
Paul Phalen,4.8,Communication,2.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=110292
Dave Miestrell,0.0,Psychology,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=110511
Catherine MacHalinski,4.1,Science,3.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=116926
Greg Tilles,4.1,History,1.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=120709
Monte Collazo,3.5,Mathematics,2.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=124316
Robert Burns,4.2,Computer Science,2.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=148313
Vincenzo Pinto,3.8,Mathematics,1.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=169027
John Robinson,4.0,English,2.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=169040
Elane Rehr,3.9,Psychology,2.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=176064
L Borowski,3.4,Chemistry,3.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=178151
Ole Mols,3.7,Chemistry,3.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=198845
Tobey Kaplan,3.8,English,1.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=202041
Brian George,1.5,History,3.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=202049
. Zimmerman,3.2,Music,1.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=203272
Amy Farhood,4.8,Physical Ed,1.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=209709
Rick Flores,4.8,Music,2.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=209712
Ratha Ramoo,2.2,Economics,4.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=213826
. Sawrey-Kubicek,4.1,Health Science,2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=218583
Tom Barber,4.6,English,2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=220593
James Rawls,4.2,History,3.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=222285
Joseph Smigelski,2.8,English,3.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=223932
Mm Riccio,4.4,Health Science,1.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=229690
Phil Farmer,3.4,Mathematics,3.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=230990
David Vela,4.4,English,3.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=234355
Scott King,4.9,Graphic Arts,1.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=283817
A Shulakoff,2.3,English,3.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=292101
Tim White,4.6,Music,2.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=292502
Michele Krup,4.2,Fine Arts,2.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=292515
Don Tetzloff,4.8,Law,1.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=297107
Sheri Ayers,4.8,Physical Ed,1.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=300281
Eva Cohen,4.9,Graphic Arts,2.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=303579
Pod,0.0,Mathematics,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=303632
Holly Kresch,2.7,Mathematics,3.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=312632
Nancy Zink,4.2,English,2.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=313058
Stan Strosser,4.3,Economics,2.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=314733
Fredric Johnson,1.7,Music,2.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=319646
Mark Foley,3.5,Social Science,1.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=320896
Gabrielle Weitzel,3.3,Biology,4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=326467
Ken Vonberg,3.2,Computer Science,1.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=326564
Michael Connor,4.0,Physics,4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=333225
Dave Johnson,4.2,Mathematics,3.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=333226
Theresa Flores-Lowry,4.4,Physical Ed,3.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=333227
Barbara Hamm,4.8,English,1.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=339394
